Date,Open,High,Low,Close,,,Volume,Adj Close
5/20/2016,17437.32031,17571.75,17437.32031,17500.93945,63.619141,1,111990000,17500.93945
5/19/2016,17514.16016,17514.16016,17331.07031,17435.40039,-78.759765,0,95530000,17435.40039
5/18/2016,17501.2793,17636.2207,17418.21094,17526.61914,25.339844,1,79120000,17526.61914
5/17/2016,17701.46094,17701.46094,17469.91992,17529.98047,-171.480469,0,103260000,17529.98047
5/16/2016,17531.75977,17755.80078,17531.75977,17710.71094,178.951172,1,88440000,17710.71094
5/13/2016,17711.11914,17734.74023,17512.48047,17535.32031,-175.798829,0,86640000,17535.32031
5/12/2016,17711.11914,17798.18945,17625.38086,17720.5,9.380859,1,88560000,17720.5
5/11/2016,17919.0293,17919.0293,17711.05078,17711.11914,-207.910156,0,87390000,17711.11914
5/10/2016,17726.66016,17934.60938,17726.66016,17928.34961,201.689453,1,75790000,17928.34961
5/9/2016,17743.84961,17783.16016,17668.38086,17705.91016,-37.939453,0,85590000,17705.91016
5/6/2016,17650.30078,17744.53906,17580.38086,17740.63086,90.330078,1,80020000,17740.63086
5/5/2016,17664.48047,17736.10938,17615.82031,17660.71094,-3.769531,0,81530000,17660.71094
5/4/2016,17735.01953,17738.06055,17609.00977,17651.25977,-83.759765,0,95020000,17651.25977
5/3/2016,17870.75,17870.75,17670.88086,17750.91016,-119.839844,0,97060000,17750.91016
5/2/2016,17783.7793,17912.34961,17773.71094,17891.16016,107.380859,1,80100000,17891.16016
4/29/2016,17813.08984,17814.83008,17651.98047,17773.64063,-39.449219,0,136670000,17773.64063
4/28/2016,18023.88086,18035.73047,17796.55078,17830.75977,-193.121093,0,100920000,17830.75977
4/27/2016,17996.14063,18084.66016,17920.25977,18041.55078,45.410156,1,109090000,18041.55078
4/26/2016,17987.38086,18043.76953,17934.16992,17990.32031,2.939453,1,92570000,17990.32031
4/25/2016,17990.93945,17990.93945,17855.55078,17977.24023,-13.699219,0,83770000,17977.24023
4/22/2016,17985.05078,18026.84961,17909.89063,18003.75,18.699219,1,134120000,18003.75
4/21/2016,18092.83984,18107.28906,17963.89063,17982.51953,-110.320313,0,102720000,17982.51953
4/20/2016,18059.49023,18167.63086,18031.21094,18096.26953,36.779297,1,100210000,18096.26953
4/19/2016,18012.09961,18103.46094,17984.42969,18053.59961,41.5,1,89820000,18053.59961
4/18/2016,17890.19922,18009.5293,17848.2207,18004.16016,113.960937,1,89390000,18004.16016
4/15/2016,17925.94922,17937.65039,17867.41016,17897.46094,-28.488281,0,118160000,17897.46094
4/14/2016,17912.25,17962.14063,17885.43945,17926.42969,14.179688,1,84510000,17926.42969
4/13/2016,17741.66016,17918.34961,17741.66016,17908.2793,166.619141,1,91710000,17908.2793
4/12/2016,17571.33984,17744.42969,17553.57031,17721.25,149.910156,1,81020000,17721.25
4/11/2016,17586.48047,17731.63086,17555.90039,17556.41016,-30.070313,0,107100000,17556.41016
4/8/2016,17555.39063,17694.50977,17528.16016,17576.96094,21.570313,1,79990000,17576.96094
4/7/2016,17687.2793,17687.2793,17484.23047,17541.96094,-145.318359,0,90120000,17541.96094
4/6/2016,17605.44922,17723.55078,17542.53906,17716.05078,110.601562,1,99410000,17716.05078
4/5/2016,17718.0293,17718.0293,17579.56055,17603.32031,-114.708985,0,115230000,17603.32031
4/4/2016,17799.39063,17806.38086,17710.66992,17737,-62.390625,0,85230000,17737
4/1/2016,17661.74023,17811.48047,17568.01953,17792.75,131.009766,1,104890000,17792.75
3/31/2016,17716.05078,17755.69922,17669.7207,17685.08984,-30.960937,0,102600000,17685.08984
3/30/2016,17652.35938,17790.10938,17652.35938,17716.66016,64.300781,1,79330000,17716.66016
3/29/2016,17512.58008,17642.81055,17434.26953,17633.10938,120.529297,1,86160000,17633.10938
3/28/2016,17526.08008,17583.81055,17493.0293,17535.39063,9.310547,1,70460000,17535.39063
3/24/2016,17485.33008,17517.14063,17399.00977,17515.73047,30.400391,1,84100000,17515.73047
3/23/2016,17588.81055,17588.81055,17486.26953,17502.58984,-86.220703,0,84240000,17502.58984
3/22/2016,17602.71094,17648.93945,17540.41992,17582.57031,-20.140626,0,95450000,17582.57031
3/21/2016,17589.69922,17644.9707,17551.2793,17623.86914,34.169922,1,84410000,17623.86914
3/18/2016,17481.49023,17620.58008,17481.49023,17602.30078,120.810547,1,321230000,17602.30078
3/17/2016,17321.38086,17529.00977,17297.65039,17481.49023,160.109375,1,117990000,17481.49023
3/16/2016,17249.33984,17379.17969,17204.07031,17325.75977,76.419922,1,118710000,17325.75977
3/15/2016,17217.15039,17251.69922,17120.34961,17251.5293,34.378906,1,92830000,17251.5293
3/14/2016,17207.49023,17275.07031,17161.16016,17229.13086,21.640625,1,96350000,17229.13086
3/11/2016,17014.99023,17220.08984,17014.99023,17213.31055,198.320313,1,123420000,17213.31055
3/10/2016,17006.05078,17130.10938,16821.85938,16995.13086,-10.919922,0,117570000,16995.13086
3/9/2016,16969.16992,17048.5,16947.93945,17000.35938,31.189453,1,116690000,17000.35938
3/8/2016,17050.66992,17072.78906,16921.50977,16964.09961,-86.570313,0,108380000,16964.09961
3/7/2016,16991.28906,17099.25,16940.48047,17073.94922,82.660157,1,100290000,17073.94922
3/4/2016,16945,17062.38086,16898.83984,17006.76953,61.769531,1,106910000,17006.76953
3/3/2016,16896.16992,16944.31055,16820.73047,16943.90039,47.730469,1,91110000,16943.90039
3/2/2016,16851.16992,16900.16992,16766.32031,16899.32031,48.15039,1,104470000,16899.32031
3/1/2016,16545.66992,16865.56055,16545.66992,16865.08008,319.410156,1,105050000,16865.08008
2/29/2016,16634.15039,16726.11914,16510.40039,16516.5,-117.650391,0,126220000,16516.5
2/26/2016,16712.69922,16795.98047,16623.91016,16639.9707,-72.728516,0,98480000,16639.9707
2/25/2016,16504.38086,16697.98047,16458.41992,16697.28906,192.908203,1,94120000,16697.28906
2/24/2016,16418.83984,16507.39063,16165.86035,16484.99023,66.15039,1,93620000,16484.99023
2/23/2016,16610.39063,16610.39063,16403.5293,16431.7793,-178.611328,0,98170000,16431.7793
2/22/2016,16417.13086,16664.24023,16417.13086,16620.66016,203.529297,1,102240000,16620.66016
2/19/2016,16410.96094,16410.96094,16278,16391.99023,-18.970704,0,134340000,16391.99023
2/18/2016,16483.75977,16511.83984,16390.42969,16413.42969,-70.330078,0,104950000,16413.42969
2/17/2016,16217.98047,16486.11914,16217.98047,16453.83008,235.849609,1,124080000,16453.83008
2/16/2016,16012.38965,16196.41016,16012.38965,16196.41016,184.020508,1,142030000,16196.41016
2/12/2016,15691.62012,15974.04004,15691.62012,15973.83984,282.219727,1,132550000,15973.83984
2/11/2016,15897.82031,15897.82031,15503.00977,15660.17969,-237.640624,0,172070000,15660.17969
2/10/2016,16035.61035,16201.88965,15899.91016,15914.74023,-120.870118,0,122290000,15914.74023
2/9/2016,16005.41016,16136.62012,15881.11035,16014.37988,8.969727,1,127740000,16014.37988
2/8/2016,16147.50977,16147.50977,15803.54981,16027.04981,-120.459961,0,165880000,16027.04981
2/5/2016,16417.94922,16423.63086,16129.80957,16204.96973,-212.979492,0,139010000,16204.96973
2/4/2016,16329.66992,16485.83984,16266.16016,16416.58008,86.910156,1,131490000,16416.58008
2/3/2016,16186.2002,16381.69043,15960.4502,16336.66016,150.459961,1,141870000,16336.66016
2/2/2016,16420.21094,16420.21094,16108.44043,16153.54004,-266.670899,0,126210000,16153.54004
2/1/2016,16453.63086,16510.98047,16299.46973,16449.17969,-4.451171,0,114450000,16449.17969
1/29/2016,16090.25977,16466.30078,16090.25977,16466.30078,376.041015,1,217940000,16466.30078
1/28/2016,15960.28027,16102.13965,15863.71973,16069.63965,109.359375,1,130120000,16069.63965
1/27/2016,16168.74023,16235.03027,15878.29981,15944.45996,-224.280273,0,138350000,15944.45996
1/26/2016,15893.16016,16185.79004,15893.16016,16167.23047,274.070313,1,118210000,16167.23047
1/25/2016,16086.45996,16086.45996,15880.15039,15885.21973,-201.240234,0,123250000,15885.21973
1/22/2016,15921.09961,16136.79004,15921.09961,16093.50977,172.410157,1,145850000,16093.50977
1/21/2016,15768.87012,16038.58984,15704.66016,15882.67969,113.809571,1,145140000,15882.67969
1/20/2016,15989.4502,15989.4502,15450.55957,15766.74023,-222.709961,0,191870000,15766.74023
1/19/2016,16009.4502,16171.95996,15900.25,16016.01953,6.569336,1,144360000,16016.01953
1/15/2016,16354.33008,16354.33008,15842.11035,15988.08008,-366.25,0,239210000,15988.08008
1/14/2016,16159.00977,16482.05078,16075.12012,16379.04981,220.040039,1,158830000,16379.04981
1/13/2016,16526.63086,16593.50977,16123.2002,16151.41016,-375.220703,0,153530000,16151.41016
1/12/2016,16419.10938,16591.34961,16322.07031,16516.2207,97.111328,1,117480000,16516.2207
1/11/2016,16358.70996,16461.84961,16232.03027,16398.57031,39.860351,1,127790000,16398.57031
1/8/2016,16519.16992,16651.89063,16314.57031,16346.4502,-172.719727,0,141850000,16346.4502
1/7/2016,16888.35938,16888.35938,16463.63086,16514.09961,-374.259766,0,176240000,16514.09961
1/6/2016,17154.83008,17154.83008,16817.61914,16906.50977,-248.320312,0,120250000,16906.50977
1/5/2016,17147.5,17195.83984,17038.60938,17158.66016,11.160156,1,105750000,17158.66016
1/4/2016,17405.48047,17405.48047,16957.63086,17148.93945,-256.541016,0,148060000,17148.93945
12/31/2015,17590.66016,17590.66016,17421.16016,17425.0293,-165.630859,0,93690000,17425.0293
12/30/2015,17711.93945,17714.13086,17588.86914,17603.86914,-108.070312,0,59760000,17603.86914
