Date,Open,High,Low,Close,Adj Close,,,Volume
12/30/2008,870.580017,891.119995,870.580017,890.640015,890.640015,20.059998,1,3627800000
12/31/2008,890.590027,910.320007,889.669983,903.25,903.25,12.659973,1,4172940000
1/2/2009,902.98999,934.72998,899.349976,931.799988,931.799988,28.809998,1,4048270000
1/5/2009,929.169983,936.630005,919.530029,927.450012,927.450012,-1.719971,0,5413910000
1/6/2009,931.169983,943.849976,927.280029,934.700012,934.700012,3.530029,1,5392620000
1/7/2009,927.450012,927.450012,902.369995,906.650024,906.650024,-20.799988,0,4704940000
1/8/2009,905.72998,910,896.809998,909.72998,909.72998,4,1,4991550000
1/9/2009,909.909973,911.929993,888.309998,890.349976,890.349976,-19.559997,0,4716500000
1/12/2009,890.400024,890.400024,864.320007,870.26001,870.26001,-20.140014,0,4725050000
1/13/2009,869.789978,877.02002,862.02002,871.789978,871.789978,2,1,5567460000
1/14/2009,867.280029,867.280029,836.929993,842.619995,842.619995,-24.660034,0,5407880000
1/15/2009,841.98999,851.590027,817.039978,843.73999,843.73999,1.75,1,7807350000
1/16/2009,844.450012,858.130005,830.659973,850.119995,850.119995,5.669983,1,6786040000
1/20/2009,849.640015,849.640015,804.469971,805.219971,805.219971,-44.420044,0,6375230000
1/21/2009,806.77002,841.719971,804.299988,840.23999,840.23999,33.46997,1,6467830000
1/22/2009,839.73999,839.73999,811.289978,827.5,827.5,-12.23999,0,5843830000
1/23/2009,822.159973,838.609985,806.070007,831.950012,831.950012,9.790039,1,5832160000
1/26/2009,832.5,852.530029,827.690002,836.570007,836.570007,4.070007,1,6039940000
1/27/2009,837.299988,850.450012,835.400024,845.710022,845.710022,8.410034,1,5353260000
1/28/2009,845.72998,877.859985,845.72998,874.090027,874.090027,28.360047,1,6199180000
1/29/2009,868.890015,868.890015,844.150024,845.140015,845.140015,-23.75,0,5067060000
1/30/2009,845.690002,851.659973,821.669983,825.880005,825.880005,-19.809997,0,5350580000
2/2/2009,823.090027,830.780029,812.869995,825.440002,825.440002,2.349975,1,5673270000
2/3/2009,825.690002,842.599976,821.97998,838.51001,838.51001,12.820008,1,5886310000
2/4/2009,837.77002,851.849976,829.179993,832.22998,832.22998,-5.54004,0,6420450000
2/5/2009,831.75,850.549988,819.909973,845.849976,845.849976,14.099976,1,6624030000
2/6/2009,846.090027,870.75,845.419983,868.599976,868.599976,22.509949,1,6484100000
2/9/2009,868.23999,875.01001,861.650024,869.890015,869.890015,1.650025,1,5574370000
2/10/2009,866.869995,868.049988,822.98999,827.159973,827.159973,-39.710022,0,6770170000
2/11/2009,827.409973,838.219971,822.299988,833.73999,833.73999,6.330017,1,5926460000
2/12/2009,829.909973,835.47998,808.059998,835.190002,835.190002,5.280029,1,6476460000
2/13/2009,833.950012,839.429993,825.210022,826.840027,826.840027,-7.109985,0,5296650000
2/17/2009,818.609985,818.609985,789.169983,789.169983,789.169983,-29.440002,0,5907820000
2/18/2009,791.059998,796.169983,780.429993,788.419983,788.419983,-2.640015,0,5740710000
2/19/2009,787.909973,797.580017,777.030029,778.940002,778.940002,-8.969971,0,5746940000
2/20/2009,775.869995,778.690002,754.25,770.049988,770.049988,-5.820007,0,8210590000
2/23/2009,773.25,777.849976,742.369995,743.330017,743.330017,-29.919983,0,6509300000
2/24/2009,744.690002,775.48999,744.690002,773.140015,773.140015,28.450013,1,7234490000
2/25/2009,770.640015,780.119995,752.890015,764.900024,764.900024,-5.739991,0,7483640000
2/26/2009,765.76001,779.419983,751.75,752.830017,752.830017,-12.929993,0,7599970000
2/27/2009,749.929993,751.27002,734.52002,735.090027,735.090027,-14.839966,0,8926480000
3/2/2009,729.570007,729.570007,699.700012,700.820007,700.820007,-28.75,0,7868290000
3/3/2009,704.440002,711.669983,692.299988,696.330017,696.330017,-8.109985,0,7583230000
3/4/2009,698.599976,724.119995,698.599976,712.869995,712.869995,14.270019,1,7673620000
3/5/2009,708.27002,708.27002,677.929993,682.549988,682.549988,-25.720032,0,7507250000
3/6/2009,684.039978,699.090027,666.789978,683.380005,683.380005,-0.659973,0,7331830000
3/9/2009,680.76001,695.27002,672.880005,676.530029,676.530029,-4.229981,0,7277320000
3/10/2009,679.280029,719.599976,679.280029,719.599976,719.599976,40.319947,1,8618330000
3/11/2009,719.590027,731.919983,713.849976,721.359985,721.359985,1.769958,1,7287810000
3/12/2009,720.890015,752.630005,714.76001,750.73999,750.73999,29.849975,1,7326630000
3/13/2009,751.969971,758.289978,742.460022,756.549988,756.549988,4.580017,1,6787090000
3/16/2009,758.840027,774.530029,753.369995,753.890015,753.890015,-4.950012,0,7883540000
3/17/2009,753.880005,778.119995,749.929993,778.119995,778.119995,24.23999,1,6156800000
3/18/2009,776.01001,803.039978,765.640015,794.349976,794.349976,18.339966,1,9098450000
3/19/2009,797.919983,803.23999,781.820007,784.039978,784.039978,-13.880005,0,9033870000
3/20/2009,784.580017,788.909973,766.200012,768.539978,768.539978,-16.040039,0,7643720000
3/23/2009,772.309998,823.369995,772.309998,822.919983,822.919983,50.609985,1,7715770000
3/24/2009,820.599976,823.650024,805.47998,806.119995,806.119995,-14.479981,0,6767980000
3/25/2009,806.809998,826.780029,791.369995,813.880005,813.880005,7.070007,1,7687180000
3/26/2009,814.059998,832.97998,814.059998,832.859985,832.859985,18.799987,1,6992960000
3/27/2009,828.679993,828.679993,813.429993,815.940002,815.940002,-12.739991,0,5600210000
3/30/2009,809.070007,809.070007,779.809998,787.530029,787.530029,-21.539978,0,5912660000
3/31/2009,790.880005,810.47998,790.880005,797.869995,797.869995,6.98999,1,6089100000
4/1/2009,793.590027,813.619995,783.320007,811.080017,811.080017,17.48999,1,6034140000
4/2/2009,814.530029,845.609985,814.530029,834.380005,834.380005,19.849976,1,7542810000
4/3/2009,835.130005,842.5,826.700012,842.5,842.5,7.369995,1,5855640000
4/6/2009,839.75,839.75,822.789978,835.47998,835.47998,-4.27002,0,6210000000
4/7/2009,834.119995,834.119995,814.530029,815.549988,815.549988,-18.570007,0,5155580000
4/8/2009,816.76001,828.419983,814.840027,825.159973,825.159973,8.399963,1,5938460000
4/9/2009,829.289978,856.909973,829.289978,856.559998,856.559998,27.27002,1,7600710000
4/13/2009,855.330017,864.309998,845.349976,858.72998,858.72998,3.399963,1,6434890000
4/14/2009,856.880005,856.880005,840.25,841.5,841.5,-15.380005,0,7569840000
4/15/2009,839.440002,852.929993,835.580017,852.059998,852.059998,12.619996,1,6241100000
4/16/2009,854.539978,870.349976,847.039978,865.299988,865.299988,10.76001,1,6598670000
4/17/2009,865.179993,875.630005,860.869995,869.599976,869.599976,4.419983,1,7352010000
4/20/2009,868.27002,868.27002,832.390015,832.390015,832.390015,-35.880005,0,6973960000
4/21/2009,831.25,850.090027,826.830017,850.080017,850.080017,18.830017,1,7436490000
4/22/2009,847.26001,861.780029,840.570007,843.549988,843.549988,-3.710022,0,7327860000
4/23/2009,844.619995,852.869995,835.450012,851.919983,851.919983,7.299988,1,6563100000
4/24/2009,853.909973,871.799988,853.909973,866.22998,866.22998,12.320007,1,7114440000
4/27/2009,862.820007,868.830017,854.650024,857.51001,857.51001,-5.309997,0,5613460000
4/28/2009,854.47998,864.47998,847.119995,855.159973,855.159973,0.679993,1,6328000000
4/29/2009,856.849976,882.059998,856.849976,873.640015,873.640015,16.790039,1,6101620000
4/30/2009,876.590027,888.700012,868.51001,872.809998,872.809998,-3.780029,0,6862540000
5/1/2009,872.73999,880.47998,866.099976,877.52002,877.52002,4.78003,1,5312170000
5/4/2009,879.210022,907.849976,879.210022,907.23999,907.23999,28.029968,1,7038840000
5/5/2009,906.099976,907.700012,897.340027,903.799988,903.799988,-2.299988,0,6882860000
5/6/2009,903.950012,920.280029,903.950012,919.530029,919.530029,15.580017,1,8555040000
5/7/2009,919.580017,929.580017,901.359985,907.390015,907.390015,-12.190002,0,9120100000
5/8/2009,909.030029,930.169983,909.030029,929.22998,929.22998,20.199951,1,8163280000
5/11/2009,922.98999,922.98999,908.679993,909.23999,909.23999,-13.75,0,6150600000
5/12/2009,910.52002,915.570007,896.460022,908.349976,908.349976,-2.170044,0,6871750000
5/13/2009,905.400024,905.400024,882.799988,883.919983,883.919983,-21.480041,0,7091820000
5/14/2009,884.23999,898.359985,882.52002,893.070007,893.070007,8.830017,1,6134870000
5/15/2009,892.76001,896.969971,878.940002,882.880005,882.880005,-9.880005,0,5439720000
5/18/2009,886.070007,910,886.070007,909.710022,909.710022,23.640015,1,5702150000
5/19/2009,909.669983,916.390015,905.219971,908.130005,908.130005,-1.539978,0,6616270000
5/20/2009,908.619995,924.599976,901.369995,903.469971,903.469971,-5.150024,0,8205060000
5/21/2009,900.419983,900.419983,879.609985,888.330017,888.330017,-12.089966,0,6019840000
5/22/2009,888.679993,896.650024,883.75,887,887,-1.679993,0,5155320000
5/26/2009,887,911.76001,881.460022,910.330017,910.330017,23.330017,1,5667050000
5/27/2009,909.950012,913.840027,891.869995,893.059998,893.059998,-16.890014,0,5698800000
5/28/2009,892.960022,909.450012,887.599976,906.830017,906.830017,13.869995,1,5738980000
5/29/2009,907.02002,920.02002,903.559998,919.140015,919.140015,12.119995,1,6050420000
6/1/2009,923.26001,947.77002,923.26001,942.869995,942.869995,19.609985,1,6370440000
6/2/2009,942.869995,949.380005,938.460022,944.73999,944.73999,1.869995,1,5987340000
6/3/2009,942.51001,942.51001,923.849976,931.76001,931.76001,-10.75,0,5323770000
6/4/2009,932.48999,942.469971,929.320007,942.460022,942.460022,9.970032,1,5352890000
6/5/2009,945.669983,951.690002,934.130005,940.090027,940.090027,-5.579956,0,5277910000
6/8/2009,938.119995,946.330017,926.440002,939.140015,939.140015,1.02002,1,4483430000
6/9/2009,940.349976,946.919983,936.150024,942.429993,942.429993,2.080017,1,4439950000
6/10/2009,942.72998,949.77002,927.969971,939.150024,939.150024,-3.579956,0,5379420000
6/11/2009,939.039978,956.22998,939.039978,944.890015,944.890015,5.850037,1,5500840000
6/12/2009,943.440002,946.299988,935.659973,946.210022,946.210022,2.77002,1,4528120000
6/15/2009,942.450012,942.450012,919.650024,923.719971,923.719971,-18.730041,0,4697880000
6/16/2009,925.599976,928,911.599976,911.969971,911.969971,-13.630005,0,4951200000
6/17/2009,911.890015,918.440002,903.780029,910.710022,910.710022,-1.179993,0,5523650000
6/18/2009,910.859985,921.929993,907.940002,918.369995,918.369995,7.51001,1,4684010000
6/19/2009,919.960022,927.090027,915.799988,921.22998,921.22998,1.269958,1,5713390000
6/22/2009,918.130005,918.130005,893.039978,893.039978,893.039978,-25.090027,0,4903940000
6/23/2009,893.460022,898.690002,888.859985,895.099976,895.099976,1.639954,1,5071020000
6/24/2009,896.309998,910.849976,896.309998,900.940002,900.940002,4.630004,1,4636720000
6/25/2009,899.450012,921.419983,896.27002,920.26001,920.26001,20.809998,1,4911240000
6/26/2009,918.840027,922,913.030029,918.900024,918.900024,0.059997,1,6076660000
6/29/2009,919.859985,927.98999,916.179993,927.22998,927.22998,7.369995,1,4211760000
6/30/2009,927.150024,930.01001,912.859985,919.320007,919.320007,-7.830017,0,4627570000
7/1/2009,920.820007,931.919983,920.820007,923.330017,923.330017,2.51001,1,3919400000
7/2/2009,921.23999,921.23999,896.419983,896.419983,896.419983,-24.820007,0,3931000000
7/6/2009,894.27002,898.719971,886.359985,898.719971,898.719971,4.449951,1,4712580000
7/7/2009,898.599976,898.599976,879.929993,881.030029,881.030029,-17.569947,0,4673300000
7/8/2009,881.900024,886.799988,869.320007,879.559998,879.559998,-2.340026,0,5721780000
7/9/2009,881.280029,887.859985,878.450012,882.679993,882.679993,1.399964,1,4347170000
7/10/2009,880.030029,883.570007,872.809998,879.130005,879.130005,-0.900024,0,3912080000
7/13/2009,879.570007,901.049988,875.320007,901.049988,901.049988,21.479981,1,4499440000
7/14/2009,900.77002,905.840027,896.5,905.840027,905.840027,5.070007,1,4149030000
7/15/2009,910.150024,933.950012,910.150024,932.679993,932.679993,22.529969,1,5238830000
7/16/2009,930.169983,943.960022,927.450012,940.73999,940.73999,10.570007,1,4898640000
7/17/2009,940.559998,941.890015,934.650024,940.380005,940.380005,-0.179993,0,5141380000
7/20/2009,942.070007,951.619995,940.98999,951.130005,951.130005,9.059998,1,4853150000
7/21/2009,951.969971,956.530029,943.219971,954.580017,954.580017,2.610046,1,5309300000
7/22/2009,953.400024,959.830017,947.75,954.070007,954.070007,0.669983,1,4634100000
7/23/2009,954.070007,979.419983,953.27002,976.289978,976.289978,22.219971,1,5761650000
7/24/2009,972.159973,979.789978,965.950012,979.26001,979.26001,7.100037,1,4458300000
7/27/2009,978.630005,982.48999,972.289978,982.179993,982.179993,3.549988,1,4631290000
7/28/2009,981.47998,982.349976,969.349976,979.619995,979.619995,-1.859985,0,5490350000
7/29/2009,977.659973,977.76001,968.650024,975.150024,975.150024,-2.509949,0,5178770000
7/30/2009,976.01001,996.679993,976.01001,986.75,986.75,10.73999,1,6035180000
7/31/2009,986.799988,993.179993,982.849976,987.47998,987.47998,0.679992,1,5139070000
8/3/2009,990.219971,1003.609985,990.219971,1002.630005,1002.630005,12.410034,1,5603440000
8/4/2009,1001.409973,1007.119995,996.679993,1005.650024,1005.650024,4.240051,1,5713700000
8/5/2009,1005.409973,1006.640015,994.309998,1002.719971,1002.719971,-2.690002,0,7242120000
8/6/2009,1004.059998,1008,992.48999,997.080017,997.080017,-6.979981,0,6753380000
8/7/2009,999.830017,1018,999.830017,1010.47998,1010.47998,10.649963,1,6827090000
